label,x,y,gov,type,notes,gaps
Claude Opus 4.5 (API),26,70,3,model,Anthropic's most capable reasoning model; used as backbone for agentic pipelines and deep analysis tasks,"No org-level admin controls; usage requires custom logging; no built-in data retention or behavior lockdown"
GPT-4o (API),24,72,3,model,OpenAI flagship multimodal model handling text/vision/audio; widely used backbone for custom agents and apps,"API-only; usage monitoring requires custom build; no org-level behavior controls or policy enforcement"
Gemini 1.5 Pro (API),22,68,3,model,Google long-context model (1M+ token window); suited for document-heavy and multi-file analysis workflows,"Requires GCP project setup; no native enterprise governance layer; usage tracking is manual"
Mistral Large (API),20,62,3,model,European frontier model with data residency options; strong reasoning and code generation capabilities,"Governance depends on hosting choice; no built-in IT admin controls in SaaS mode; limited enterprise support tier"
DeepSeek R1 (self-hosted),10,92,1,model,Open-weight Chinese reasoning model with strong math and code; can be deployed fully on-premise for data privacy,"Fully self-hosted; zero native governance; data sovereignty concerns; IT owns every layer including all gaps"
Llama 3.3 (self-hosted),15,90,1,model,Meta latest open-weight model; capable on modern hardware; used for private on-prem or air-gapped deployments,"Same governance gaps as self-hosted models; full IT ownership required; no vendor SLA or support"
LangChain,85,88,2,tool,Python framework for building LLM-powered applications and multi-step agents; most widely adopted agent starting point,"No built-in observability; governance must be built from scratch; requires dedicated engineering to maintain"
LangGraph,88,90,2,tool,Graph-based stateful agent orchestration built on LangChain; handles complex looping and branching agentic workflows,"Same governance gaps as LangChain; LangSmith required for observability at additional cost and complexity"
AutoGen (Microsoft),82,86,2,tool,Microsoft Research multi-agent framework enabling autonomous collaborative agent conversations and task delegation,"No production governance tooling included; agent behavior hard to audit; requires dedicated engineering support"
LlamaIndex,78,84,2,tool,RAG-focused framework for connecting LLMs to enterprise data sources; commonly paired with LangChain for retrieval pipelines,"Governance requires fully custom implementation; no built-in RBAC or audit logs; ingestion pipeline complexity"
Flowise,70,60,3,tool,Open-source visual LangChain builder with drag-and-drop interface; reduces coding overhead for agent workflow construction,"No enterprise SSO or RBAC out of box; self-hosted required for data control; limited enterprise support"
Dify,68,50,4,tool,Open-source LLMOps platform with visual workflow builder and RAG pipeline support; faster than full-code frameworks,"Self-hosted required for data privacy; limited enterprise support tier available; governance must be layered on"
n8n (AI nodes),65,45,4,tool,Low-code workflow automation with native AI/LLM nodes; bridges traditional automation and emerging agentic patterns,"Self-hosted model limits IT visibility; limited compliance certifications; behavior auditing requires manual configuration"
Zapier AI,72,18,6,tool,No-code automation platform with AI-powered actions and Zap steps; connects thousands of SaaS apps,"Org-level controls are limited; no granular per-user analytics; data passing between apps requires security review"
Make (formerly Integromat),68,22,5,tool,Visual workflow automation platform with AI modules; more powerful than Zapier for complex multi-step data flows,"Less mature enterprise governance than Zapier; limited SSO on lower tiers; audit trail gaps on standard plans"
Power Automate (AI Builder),75,15,8,tool,Microsoft low-code automation with AI Builder models; deeply integrated with M365 Dataverse and SharePoint ecosystem,"AI Builder model accuracy varies by use case; advanced features require premium per-user licensing"
Salesforce Agentforce,80,20,8,tool,Salesforce native agentic AI platform; agents operate within CRM data workflows and customer lifecycle automation,"Requires existing Salesforce investment; limited value outside CRM ecosystem; licensing overhead is significant"
ServiceNow AI Agents,80,12,9,tool,Enterprise IT and HR workflow automation with AI agents; strong governance audit trail and native ITSM integration,"High licensing cost; implementation complexity; maximum value requires deep ServiceNow platform adoption"
UiPath Autopilot,82,28,8,tool,Enterprise RPA platform with AI-powered agent capabilities and mature compliance and governance tooling,"RPA maintenance overhead; high licensing cost; requires ongoing bot lifecycle management and monitoring"
Automation Anywhere (AI),78,24,7,tool,Cloud-first enterprise RPA with AI and ML agent capabilities; direct competitor to UiPath for enterprise automation,"Requires deep platform expertise; governance strong but complex to administer; duplicate investment if UiPath is already present"
Moveworks,63,10,8,tool,AI platform for IT and HR service desk automation; employees resolve requests via natural language without opening tickets,"Purpose-built for IT and HR workflows; limited extensibility outside service desk; requires ITSM integration work"
Copilot Studio (Microsoft),62,20,8,tool,Microsoft no-code platform for building custom Copilot agents integrated with M365 Teams and Power Platform,"Custom agent behavior requires careful testing and validation; advanced skills require premium license upgrade"
Microsoft Copilot (M365),28,10,9,tool,Microsoft AI assistant embedded across Teams Outlook Word Excel and PowerPoint; enterprise-grade data privacy and admin controls,"Requires M365 E3/E5 licensing tier; adoption requires change management investment; feature rollout cadence varies"
Google Workspace Gemini,25,12,8,tool,Google AI assistant embedded across Gmail Docs Sheets and Meet; strong fit for Google-stack organizations,"Less relevant on Microsoft M365 stack; data residency options vary by tier; admin controls less mature than M365 Copilot"
Notion AI,18,15,7,tool,AI writing and knowledge management features built into Notion; widely used by operations and project management teams,"Not a primary enterprise system of record; limited org-level governance controls; data lives in Notion not internal systems"
Slack AI,20,8,8,tool,AI-powered channel search summaries and meeting recaps built into Slack; reduces information overload for async teams,"Requires Business+ or Enterprise Grid tier; value tightly coupled to Slack platform adoption"
Zoom AI Companion,16,8,8,tool,AI meeting summaries transcription and conversation intelligence embedded natively in Zoom Meetings and Clips,"Meeting recording consent requirements vary by state; Zoom platform dependency; data governance review recommended"
Grammarly Business,8,5,9,tool,AI writing assistant with tone clarity and compliance suggestions; strong admin controls and brand policy enforcement,"Writing and communication contexts only; limited to text use cases; brand voice configuration requires initial investment"
Otter.ai Business,14,8,7,tool,AI meeting transcription with notes action items and CRM integrations; popular for field and sales team workflows,"Consent requirements for recording vary by jurisdiction; meeting data stored externally; limited SIEM integration"
Perplexity Enterprise,22,12,7,tool,AI-powered research and web search with cited sources; enterprise tier includes data privacy and SSO controls,"Answers sourced from public web only; hallucination risk on proprietary or confidential topics; not a knowledge base"
ChatGPT Enterprise,35,15,8,tool,OpenAI enterprise chat platform with data privacy protections admin console and usage analytics dashboard,"OpenAI vendor dependency; usage analytics less mature than M365 Copilot; policy required to prevent shadow IT sprawl"
Writer Enterprise,15,18,8,tool,Enterprise AI platform for brand-consistent content generation with compliance guardrails and governance controls,"Content generation use case primarily; limited value outside communications and marketing functions"
Adobe Firefly (Enterprise),14,20,8,tool,Commercially safe generative AI for images and creative assets with IP indemnification; integrated into Creative Cloud,"Creative workflow-specific; limited applicability outside design and marketing teams; requires Creative Cloud licensing"
GitHub Copilot Business,42,75,6,tool,AI pair programmer integrated into VS Code JetBrains and other IDEs; measurably accelerates developer output and code review,"Developer-focused governance only; limited IT admin surface; usage analytics require Copilot dashboard access"
Amazon Q Developer,40,70,7,tool,AWS AI coding assistant with enterprise security scanning automated code reviews and native AWS service integration,"Deeper value within AWS ecosystem; governance tied to IAM and AWS account structure; limited outside AWS workloads"
Tabnine Enterprise,38,72,6,tool,AI code completion with on-premise model deployment option; strong governance story for data-sensitive or air-gapped environments,"Smaller model than Copilot or Cursor; less capable on complex tasks; on-prem governance advantage trades off against raw capability"
Cursor (Team),58,80,3,tool,AI-first IDE with aggressive agent mode capable of autonomously editing multiple files and running terminal commands,"Each user configures independently; no IT admin dashboard; agent behavior not lockable without explicit org policy"
Azure OpenAI Service,32,60,8,tool,Microsoft enterprise API access to GPT-4o and other models with M365-aligned data governance compliance and private endpoints,"Requires Azure subscription and technical engineering setup; model costs managed separately from M365 licensing"
AWS Bedrock,38,62,7,tool,AWS managed API for multiple foundation models including Anthropic Claude Llama and Amazon Titan; pay-per-use consumption,"Requires AWS expertise; governance tooling varies per model provider; multi-model management adds operational complexity"
Google Vertex AI,30,60,7,tool,Google Cloud managed AI platform with Gemini models MLOps tooling and enterprise deployment infrastructure,"GCP ecosystem dependency; technical setup required; less turnkey than Azure OpenAI for organizations on Microsoft stack"
Procore AI,30,16,8,tool,AI-powered insights and document analysis within the Procore construction management platform; RFI assistance and cost forecasting,"Value limited to Procore customers; several AI features still on product roadmap; no standalone AI offering outside Procore"
Autodesk Construction Cloud AI,35,25,7,tool,AI features in Autodesk Build for RFI automation document analysis and schedule risk identification in construction workflows,"Autodesk platform dependency; some AI features still in preview or limited GA; adoption requires substantial user training"
Buildertrend AI,26,12,7,tool,AI features in Buildertrend homebuilder CRM and project management platform; smart scheduling and automated client communication,"Homebuilder-specific use case; limited standalone governance controls; AI features tied to Buildertrend platform subscription"
Bluebeam Revu AI,22,28,7,tool,AI-assisted markup review and document collaboration for construction drawings specifications and plan review workflows,"Construction document-specific use case; AI features still maturing; primarily desktop-based with limited mobile support"
Power BI Copilot,28,22,8,tool,AI natural language data analysis and automated visualization within Microsoft Power BI; Q&A over business data,"Requires Power BI Premium Per User license; answer quality depends on underlying data model quality; not a BI analyst replacement"
DocuSign AI,18,10,8,tool,AI contract analysis clause extraction and agreement intelligence within the DocuSign IAM platform for contract lifecycle management,"Use case limited to contract and agreement workflows; requires DocuSign platform adoption; CLM integration adds complexity"
